Name,age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,Tenure (months),age2
Trinidad Kolbe,53,F,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,2722.077794,24500.97,15,659.23,Yes,Yes,No,Not Applicable,Poor Website,4,11,50-59
Carmina Dudding,54,M,City,No Membership,No,Credit/Debit Card Offers,Not Specified,Mobile_Data,0,998.3660555,24715.74,23,667.61,Yes,No,Yes,Solved,Poor Product Quality,4,13,50-59
Marylouise Chmiel,56,F,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,22,133.48,4603.17,19,610.47,Yes,No,No,Not Applicable,No reason specified,5,8,50-59
Marylouise Smidt,37,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,7,220.19,92170.46,1,816.67,Yes,No,No,Not Applicable,Products always in Stock,1,7,30-39
Raina Mullan,24,M,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,7,192.65,32735.62,6,601.43,No,Yes,Yes,Solved,Poor Product Quality,4,23,20-29
Lore Rizzo,23,F,Town,Basic Membership,No,Without Offers,Desktop,Fiber_Optic,15,189.28,9458.45,27,420.4152737,No,Yes,Yes,Unsolved,Poor Website,4,23,20-29
Magdalena Gilkison,19,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,23,33.92,11300.77,21,722.41,No,Yes,No,Not Applicable,Poor Website,3,8,Oct-19
Christiana Merriam,43,F,City,No Membership,Yes,Without Offers,Not Specified,Wi-Fi,11,634.76,17273.97,5,569.39,No,Yes,Yes,Solved,No reason specified,5,32,40-49
Mara Borel,13,M,Town,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,13,65.02,32143.9,18,774.46,No,Yes,Yes,Solved,No reason specified,3,20,Oct-19
Rosia Kandoll,24,F,Town,Premium Membership,No,Without Offers,Desktop,Fiber_Optic,12,181.09,25947.29,9,770.45,No,Yes,Yes,Unsolved,No reason specified,3,1,20-29
Lakendra Brisco,39,M,Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8,65.75,19073.07,15,724.08,Yes,No,Yes,Solved in Follow-up,Too many ads,3,11,30-39
Nolan Puente,31,M,City,No Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,22,441.82,40854.09,25,572.26,No,Yes,No,Not Applicable,Poor Product Quality,5,6,30-39
Torri Resto,17,F,City,Premium Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20,1127.489655,90271.07,5,845.16,No,Yes,No,Not Applicable,Quality Customer Care,1,22,Oct-19
Candida Tarr,43,F,City,Basic Membership,Not Specified,Gift Vouchers/Coupons,Not Specified,Wi-Fi,23,75.31,29088.6,17,594.94,No,Yes,No,Not Applicable,Too many ads,5,21,40-49
Pam Sabbagh,48,F,Village,Basic Membership,Not Specified,Without Offers,Desktop,Wi-Fi,17,222.48,11556.51,29,1160.581817,No,Yes,No,Not Applicable,Poor Product Quality,5,33,40-49
Beatriz Smiley,46,M,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21,362.79,26214.68,12,370.905048,Yes,Yes,Yes,Solved,Poor Customer Service,4,17,40-49
Alyson Hodges,21,M,Town,Silver Membership,No,Without Offers,Desktop,Fiber_Optic,14,106.24,9084.29,15,705.48,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,3,0,20-29
Darius Twiggs,63,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,12,830.29,32030.87,24,1007.175225,No,Yes,Yes,Solved,Poor Website,5,14,60-69
Janelle Yarber,44,F,Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,404.75,45717.9,19,607.28,Yes,No,Yes,No Information Available,Poor Product Quality,4,1,40-49
Sidney Nurse,23,M,Village,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,18,53.49,11106.35,29,681.5,No,Yes,No,Not Applicable,Poor Customer Service,4,10,20-29
Tandra Villela,58,F,Town,No Membership,Not Specified,Without Offers,Not Specified,Mobile_Data,17,159.32,25409.37,14,637.5,No,Yes,Yes,Solved in Follow-up,Poor Website,5,2,50-59
Polly Kenney,57,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Both,Wi-Fi,21,528.9,9695.17,23,692.01,Yes,No,Yes,Unsolved,Too many ads,4,12,50-59
Franchesca Scroggins,62,F,Town,Gold Membership,Not Specified,Without Offers,Not Specified,Wi-Fi,13,253.9,31263.47,9,708.89,Yes,No,Yes,Unsolved,Poor Website,3,0,60-69
Margurite Castilleja,47,M,Village,Basic Membership,Not Specified,Without Offers,Desktop,Wi-Fi,0,31.87,3155.66,22,620.07,Yes,No,Yes,No Information Available,No reason specified,5,6,40-49
Vera Winner,24,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Both,Mobile_Data,8,679.25,40761.99,0,736.72,Yes,Yes,No,Not Applicable,Too many ads,3,35,20-29
Minerva Haydon,15,M,City,No Membership,Not Specified,Without Offers,Not Specified,Wi-Fi,10,707.65,47742.48,10,643.48,No,Yes,Yes,No Information Available,Too many ads,4,20,Oct-19
Christene Ruse,33,F,Town,Premium Membership,No,Without Offers,Not Specified,Mobile_Data,24,50.95,50852.53,18,1139.602237,Yes,No,No,Not Applicable,User Friendly Website,2,32,30-39
William Streicher,46,F,City,No Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Wi-Fi,12,96.37,28705.99,10,486.9242278,Yes,No,No,Not Applicable,Poor Customer Service,5,17,40-49
Gilda Propp,23,F,Village,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,1,437.62,69283.19,2,253.9018806,Yes,No,No,Not Applicable,Quality Customer Care,2,11,20-29
Todd Kanagy,48,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,22,372.43,39702.1,27,911.7571928,No,Yes,Yes,Unsolved,Poor Product Quality,4,20,40-49
Loriann Colegrove,42,M,Town,Gold Membership,Not Specified,Gift Vouchers/Coupons,Not Specified,Mobile_Data,12,236.54,2471.76,22,757.96,Yes,No,No,Not Applicable,No reason specified,3,26,40-49
Pennie Edgar,12,M,Village,No Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,12,132.87,12822.52,12,96.53974611,Yes,No,No,Not Applicable,Poor Website,5,6,Oct-19
Alma Koeppel,46,F,Town,No Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,3,376.05,6556.89,11,659.92,No,Yes,No,Not Applicable,No reason specified,5,13,40-49
Lizette Koffler,38,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,9,65.61,9191.63,24,634.84,Yes,No,No,Not Applicable,Poor Website,5,28,30-39
Cinda Luth,46,F,City,Platinum Membership,Yes,Without Offers,Desktop,Fiber_Optic,24,80,14768.01,12,766.8,No,Yes,Yes,No Information Available,Poor Customer Service,3,24,40-49
Kristen Seaver,64,F,Village,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,73.34,14133.21,7,606.78,Yes,No,Yes,Unsolved,Poor Website,5,10,60-69
Claud Rothe,57,F,City,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,22,105.16,24777.8,21,756.56,No,Yes,Yes,Solved,No reason specified,3,24,50-59
Phung Ruder,55,M,Village,Gold Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,17,535.49,2454.36,7,807.65,Yes,No,No,Not Applicable,Products always in Stock,1,4,50-59
Roslyn Allinder,61,M,Village,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,14,30.72,49840.58,24,1035.713025,No,Yes,No,Not Applicable,Too many ads,3,23,60-69
Eilene Vancleave,59,M,Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13,45.1,16706.85,25,644.69,No,Yes,No,Not Applicable,Poor Product Quality,4,7,50-59
Jong Homan,30,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,242.75,30969.41,24,728.82,Yes,No,No,Not Applicable,No reason specified,3,24,30-39
Marquerite Rakow,33,F,City,Premium Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,21,224.94,9130.45,8,734.12,No,Yes,No,Not Applicable,No reason specified,3,15,30-39
Iliana Tindel,44,F,City,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,0,38.79,5732.36,21,663.48,Yes,No,No,Not Applicable,Poor Product Quality,4,34,40-49
Carmina Hanline,11,M,City,Basic Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8,554.3,27398.21,29,644.09,Yes,No,No,Not Applicable,Poor Product Quality,4,13,Oct-19
Sadie Rouse,55,M,City,No Membership,Yes,Without Offers,Desktop,Mobile_Data,3,438.5,46301.74,10,582.75,Yes,No,No,Not Applicable,Poor Product Quality,5,12,50-59
Lois Woodrow,48,M,City,Gold Membership,Not Specified,Without Offers,Desktop,Wi-Fi,16,60.15,24409.15,7,822.47,Yes,No,No,Not Applicable,Quality Customer Care,1,20,40-49
Maudie Hobart,27,M,Village,Silver Membership,No,Gift Vouchers/Coupons,Not Specified,Fiber_Optic,13,33.03,38353.81,39.40368884,703.36,No,Yes,No,Not Applicable,Poor Customer Service,3,34,20-29
Dorotha Shoultz,17,F,City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15,116.22,38280.4,17,690.07,Yes,No,No,Not Applicable,Poor Website,4,6,Oct-19
Willis Edick,39,F,Town,Premium Membership,Yes,Credit/Debit Card Offers,Not Specified,Mobile_Data,12,503.71,99289.65,19,842.55,Yes,Yes,No,Not Applicable,Products always in Stock,1,19,30-39
Sallie Lesniak,52,F,Town,Basic Membership,Yes,Without Offers,Smartphone,Mobile_Data,18,199.46,7399.31,20,501.09,No,Yes,No,Not Applicable,Too many ads,5,8,50-59
Palma Chattin,34,M,City,Basic Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,18,446.53,30240.11,19,600.53,No,Yes,No,Not Applicable,Poor Product Quality,5,10,30-39
Raina Titcomb,41,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16,32.79,25540.83,26,939.2104915,Yes,No,Yes,Solved,Too many ads,5,4,40-49
Markita Wiltse,61,F,Town,Basic Membership,Yes,Credit/Debit Card Offers,Not Specified,Mobile_Data,15,176.63,30645.03,15,641.29,Yes,No,Yes,Solved,Poor Product Quality,5,28,60-69
Danny Chace,18,M,City,No Membership,No,Without Offers,Smartphone,Fiber_Optic,15,107.57,36114.26,16,639.88,Yes,No,Yes,Solved,Poor Website,5,33,Oct-19
Kyung Streicher,20,M,Town,Gold Membership,Not Specified,Without Offers,Both,Fiber_Optic,10,328.36,17008.15,17,1301.421029,Yes,No,No,Not Applicable,Poor Website,3,11,20-29
Opal Bernhardt,63,F,City,Gold Membership,Yes,Without Offers,Smartphone,Fiber_Optic,12,1132.467874,9407.41,15,708.8,Yes,No,Yes,Solved,Poor Customer Service,3,31,60-69
Terrance Reitzel,26,M,City,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20,352.68,72243.36,19,754.5,No,Yes,No,Not Applicable,Products always in Stock,1,31,20-29
Meghann Garrels,13,M,City,Basic Membership,No,Without Offers,Not Specified,Fiber_Optic,0,1146.242765,26004.95,26,705.83,Yes,No,No,Not Applicable,Too many ads,4,4,Oct-19
Hilde Helbing,45,F,Town,No Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,8,410.69,7085.94,6,346.296282,Yes,Yes,No,Not Applicable,Poor Website,4,14,40-49
Lesia Beauchesne,12,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15,1298.983614,12180.02,16,657.13,No,Yes,No,Not Applicable,Too many ads,5,2,Oct-19
Kenny Godin,51,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10,147.26,28849.04,20,713.88,No,Yes,No,Not Applicable,Poor Website,4,14,50-59
Ok Cheng,61,M,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,17,79,54023.99,5,785.69,Yes,No,No,Not Applicable,Quality Customer Care,1,3,60-69
Augustus Fleig,19,F,Town,No Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,90.18,24639.41,3.127776701,694.52,Yes,No,Yes,Solved,No reason specified,5,28,Oct-19
Melinda Amy,62,F,City,No Membership,Yes,Without Offers,Not Specified,Mobile_Data,18,34.49,45772.12,11,548.22,No,Yes,Yes,Solved,Poor Product Quality,5,8,60-69
Erich Toledo,21,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,11,52.95,38441.48,11,548.72,Yes,No,Yes,Solved,Poor Product Quality,5,24,20-29
Rolf Gregoire,37,M,Town,Silver Membership,Yes,Without Offers,Smartphone,Fiber_Optic,0,279.6,12128.59,25,725.02,Yes,No,No,Not Applicable,Too many ads,3,30,30-39
Margrett Crowther,32,F,City,Silver Membership,Yes,Without Offers,Smartphone,Mobile_Data,4,43.96,3596.94,23,634.02,No,Yes,Yes,Solved in Follow-up,No reason specified,4,28,30-39
Laurette Mckeown,13,M,Town,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,13,198.19,38004.54,18,718.3,No,Yes,No,Not Applicable,No reason specified,4,22,Oct-19
Dusty Ardoin,37,F,Town,Gold Membership,No,Without Offers,Desktop,Wi-Fi,10,43.4,16732.81,5,779.17,No,Yes,No,Not Applicable,Poor Customer Service,3,13,30-39
Jeannette Brandenberger,26,M,Town,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,4,527.45,13740.93,23,140.9864555,No,Yes,Yes,Unsolved,Too many ads,4,7,20-29
Meaghan Exner,57,F,City,Silver Membership,Yes,Without Offers,Smartphone,Fiber_Optic,6,170.36,41650.33,6,710.23,No,Yes,Yes,Solved,Poor Customer Service,4,4,50-59
Lucio Clyburn,27,M,Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,3,30.78,22385.69,7,754.48,No,Yes,No,Not Applicable,Quality Customer Care,1,28,20-29
Suzanna Dyess,45,F,City,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,15,111.5,15061.19,5,1025.352333,No,Yes,No,Not Applicable,Poor Customer Service,3,28,40-49
Claud Godin,56,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Both,Mobile_Data,14,589.97,97641.78,8,727.62,Yes,Yes,Yes,No Information Available,Products always in Stock,2,27,50-59
Cedrick Abell,48,M,City,Gold Membership,Not Specified,Without Offers,Desktop,Wi-Fi,12,31.8,12610.43,12,790.86,No,Yes,Yes,No Information Available,No reason specified,3,1,40-49
Roxy Mijangos,58,M,Village,Premium Membership,Not Specified,Credit/Debit Card Offers,Desktop,Mobile_Data,14,163.35,23067.22,12,1134.776216,No,Yes,Yes,Solved,User Friendly Website,1,23,50-59
Mariana Castilleja,36,F,Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,881.41,92166.98,2,734.4,Yes,Yes,No,Not Applicable,Quality Customer Care,2,0,30-39
Elke Jeffords,53,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Not Specified,Mobile_Data,18,34.68,45795.86,15,1173.198134,Yes,No,No,Not Applicable,Poor Customer Service,5,1,50-59
Mikel Cardwell,55,M,City,No Membership,Yes,Credit/Debit Card Offers,Not Specified,Fiber_Optic,8,586.74,1440.89,22,679.78,Yes,No,Yes,Solved in Follow-up,No reason specified,4,31,50-59
Maryln Wind,30,F,Town,Platinum Membership,Not Specified,Credit/Debit Card Offers,Both,Wi-Fi,22,543.72,28367.97,6,761.42,Yes,Yes,No,Not Applicable,No reason specified,3,21,30-39
Shanae Cha,29,M,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,8,118.34,42363.79,26,682.25,No,Yes,No,Not Applicable,Poor Customer Service,4,11,20-29
Anisha Esses,11,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Not Specified,Fiber_Optic,12,857.0619121,34328.16,25,768.96,Yes,No,No,Not Applicable,Poor Product Quality,3,23,Oct-19
Stella Luera,46,F,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19,154.65,10120.81,21,718.87,Yes,No,Yes,No Information Available,No reason specified,3,22,40-49
Joyce Roepke,58,M,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,14,334.29,14926.5,7,785.79,Yes,Yes,No,Not Applicable,Poor Product Quality,3,4,50-59
Jeannette Morais,28,F,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15,119.33,24372.13,26,727.09,No,Yes,Yes,Solved in Follow-up,Too many ads,3,24,20-29
Guy Roehrig,15,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,17,33.94,1017.71,28,662.64,No,Yes,No,Not Applicable,No reason specified,5,32,Oct-19
Elden Funderburg,39,F,Town,No Membership,Yes,Credit/Debit Card Offers,Both,Mobile_Data,11,802.44,39187.85,27,1032.736849,Yes,No,No,Not Applicable,Poor Website,5,12,30-39
Joyce Titcomb,25,M,City,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,12,220.04,44133.85,24,501.68,No,Yes,No,Not Applicable,Poor Product Quality,5,14,20-29
Nathalie Rothe,50,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Not Specified,Wi-Fi,5,32.98,39342.66,29,631.12,No,Yes,No,Not Applicable,No reason specified,5,29,50-59
Genoveva Sherlock,28,M,Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,255.41,18936.43,11,710.24,Yes,No,No,Not Applicable,User Friendly Website,2,13,20-29
Hilde Lefevers,28,F,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,10,814.89,45927.89,26,752.54,No,Yes,No,Not Applicable,Poor Product Quality,3,10,20-29
Trudi Ficklin,21,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,6,185.27,22510.29,14,737.36,Yes,No,Yes,Unsolved,Too many ads,3,22,20-29
Annelle Townson,62,F,Village,Platinum Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,14,93.02,8543.31,19,790.68,Yes,No,Yes,No Information Available,No reason specified,3,32,60-69
Pennie Simpson,16,F,City,Gold Membership,Yes,Without Offers,Desktop,Mobile_Data,19,438.5,45685.63,15,797.13,No,Yes,No,Not Applicable,Poor Website,3,8,Oct-19
Genevieve Galley,46,F,City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,24,135.31,14597.55,17,585.23,Yes,No,No,Not Applicable,Too many ads,5,3,40-49
Jeannette Freese,23,M,City,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,14,1243.636759,33366.01,3.567548265,236.7799061,No,Yes,No,Not Applicable,Poor Website,4,13,20-29
Brendan Averitt,45,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,11,421.78,88561.09,17,715.09,Yes,Yes,No,Not Applicable,User Friendly Website,2,5,40-49
Leeanne Fausto,63,F,City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,258.74,85468.25,12,1189.052048,No,Yes,Yes,Solved in Follow-up,Quality Customer Care,1,1,60-69
Krystina Helbing,54,M,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,13,499.41,9930.2,1,768.63,Yes,No,No,Not Applicable,Reasonable Price,2,16,50-59
Dwain Payer,28,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,6,762.39,2306.31,10,1200.387832,Yes,Yes,No,Not Applicable,Poor Product Quality,3,11,20-29
Paul Zayac,28,F,City,Platinum Membership,No,Without Offers,Smartphone,Mobile_Data,21,48.77,35896.7,13,795.09,No,Yes,No,Not Applicable,Poor Customer Service,3,25,20-29
Ozella Streight,48,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11,997.3419498,7461.72,26,712.02,No,Yes,Yes,No Information Available,Poor Website,4,12,40-49
Bette Bains,55,M,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,11,293.26,14829.26,23,764.43,Yes,Yes,Yes,Solved,Poor Website,3,30,50-59
Karri Tibbets,37,M,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,142.12,43367.89,10,528.7828243,Yes,No,No,Not Applicable,Too many ads,3,24,30-39
Aisha Weinstock,13,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,0,1032.642376,13633.28,22,560.07,No,Yes,Yes,Solved in Follow-up,Too many ads,5,25,Oct-19
Kizzy Constance,58,M,City,No Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,14,998.55,39497.77,22,667.51,Yes,No,Yes,Solved,Poor Website,5,15,50-59
Larae Engstrom,11,M,Village,Gold Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,6,314.8,2051.24,0,807.39,Yes,Yes,No,Not Applicable,User Friendly Website,1,27,Oct-19
Wes Esser,28,F,Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,15,1180.146004,55674.63,13,703.07,No,Yes,No,Not Applicable,User Friendly Website,2,22,20-29
Solomon Maher,22,F,Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,5,31.42,82412.03,12,1115.507723,No,Yes,No,Not Applicable,Quality Customer Care,1,18,20-29
Cedrick Twigg,18,F,City,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,9,1338.8,21782.74,12,739.11,Yes,No,Yes,Solved in Follow-up,No reason specified,3,32,Oct-19
Selina Ray,64,F,Village,Basic Membership,Not Specified,Credit/Debit Card Offers,Both,Mobile_Data,16,870.53,12512.91,13,1474.941244,Yes,No,Yes,Solved in Follow-up,Too many ads,4,20,60-69
Dian Seaver,18,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,19,53.5,29094.92,23,650.39,Yes,No,Yes,Unsolved,Poor Product Quality,4,35,Oct-19
Genoveva Sisler,17,F,Village,Silver Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Fiber_Optic,18,67.52,19534.89,14,612.42,Yes,No,No,Not Applicable,No reason specified,4,32,Oct-19
Edna Haggins,61,M,Town,No Membership,Yes,Without Offers,Both,Fiber_Optic,9,609.52,20705.94,20,660.35,Yes,No,Yes,No Information Available,Too many ads,4,30,60-69
Cornelia Lamantia,15,M,Town,Platinum Membership,No,Without Offers,Both,Mobile_Data,1,461.88,38704.79,4,247.810199,Yes,Yes,No,Not Applicable,User Friendly Website,1,26,Oct-19
Brenton Yokota,24,M,Town,No Membership,No,Without Offers,Smartphone,Mobile_Data,19,124.23,44565.04,8,1031.46983,Yes,No,No,Not Applicable,No reason specified,5,27,20-29
Lawerence Cratty,10,F,City,Basic Membership,Yes,Without Offers,Not Specified,Mobile_Data,11,1323.29,25601.44,25,216.0107425,Yes,No,No,Not Applicable,Too many ads,5,14,Oct-19
Donya Fenstermaker,22,F,Town,No Membership,Yes,Without Offers,Smartphone,Wi-Fi,0,505.55,3570.06,18,558.94,Yes,No,No,Not Applicable,Poor Product Quality,5,26,20-29
Ranae Burch,39,F,City,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18,65.27,35634.39,26,618.44,No,Yes,No,Not Applicable,Too many ads,4,15,30-39
Winford Thomas,30,F,City,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5,32.7,27802.41,21,766.63,No,Yes,No,Not Applicable,Poor Customer Service,3,5,30-39
Aracely Kellen,43,M,Town,No Membership,Yes,Without Offers,Both,Fiber_Optic,5,1482.21,5646.38,26,696.42,Yes,Yes,No,Not Applicable,No reason specified,5,26,40-49
Kenny Poehler,18,M,City,Basic Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Wi-Fi,5,192.27,15964.16,12,220.6067981,No,Yes,No,Not Applicable,Poor Website,5,26,Oct-19
Luciano Kaestner,26,F,Town,Basic Membership,No,Without Offers,Smartphone,Wi-Fi,11,108.14,7471.19,17,621.7,No,Yes,No,Not Applicable,Too many ads,5,6,20-29
Sallie Kalina,14,M,Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13,33.8,38618.52,26,707.23,Yes,No,Yes,Unsolved,No reason specified,3,2,Oct-19
Katelin Badgett,12,F,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13,488.24,64963.62,5,1038.9049,Yes,Yes,Yes,Solved,Reasonable Price,1,26,Oct-19
Joyce Eriksen,59,F,Town,No Membership,No,Without Offers,Smartphone,Fiber_Optic,12,50.46,46936.64,25,708.56,No,Yes,Yes,Solved,Poor Product Quality,4,9,50-59
Cinda Villela,12,M,Town,Basic Membership,Yes,Without Offers,Smartphone,Mobile_Data,0,412.56,24635.65,26,618.92,Yes,Yes,No,Not Applicable,Poor Website,5,19,Oct-19
Glendora Saliba,54,M,Village,Silver Membership,Yes,Credit/Debit Card Offers,Not Specified,Fiber_Optic,6,884.02,22390.16,18,196.6701236,Yes,Yes,No,Not Applicable,Poor Customer Service,3,10,50-59
Cyrus Police,12,F,City,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13,43.33,73332.11,10,755.66,Yes,No,Yes,Solved in Follow-up,Products always in Stock,2,22,Oct-19
Lida Crochet,49,M,City,Silver Membership,Not Specified,Credit/Debit Card Offers,Desktop,Wi-Fi,0,281.2,41203.55,28,446.2674092,No,Yes,No,Not Applicable,Poor Product Quality,3,35,40-49
Bryce Rakowski,30,M,Town,Silver Membership,Yes,Without Offers,Smartphone,Fiber_Optic,16,46.19,32638.84,16,645.59,No,Yes,No,Not Applicable,Too many ads,4,32,30-39
Genoveva Saeed,19,M,Town,Gold Membership,Not Specified,Gift Vouchers/Coupons,Not Specified,Mobile_Data,15,158.73,19961.9,22,608.21,No,Yes,No,Not Applicable,Poor Product Quality,4,11,Oct-19
Enedina Harbin,50,F,City,No Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,12,802.55,38014.67,23,626.88,Yes,Yes,No,Not Applicable,Poor Product Quality,4,28,50-59
Jong Gregoire,49,M,Village,Gold Membership,No,Without Offers,Not Specified,Mobile_Data,12,34.46,72281.76,8,492.2726229,Yes,No,Yes,No Information Available,User Friendly Website,2,17,40-49
Fermin Ries,44,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,18,32.96,1254.96,18,665.25,No,Yes,Yes,Solved,Poor Customer Service,5,32,40-49
Britteny Leech,38,M,Town,No Membership,Yes,Without Offers,Not Specified,Mobile_Data,21,122.62,35259.89,17,612.38,No,Yes,Yes,No Information Available,Too many ads,4,30,30-39
Leonel Crosier,58,F,Town,Basic Membership,Not Specified,Without Offers,Smartphone,Fiber_Optic,16,1277.87,13247.63,24,514.44,No,Yes,Yes,Solved in Follow-up,Too many ads,5,14,50-59
Azzie Terrell,23,F,Town,No Membership,Not Specified,Credit/Debit Card Offers,Desktop,Wi-Fi,9,161.07,29663.77,7,701.53,No,Yes,Yes,No Information Available,Poor Customer Service,4,19,20-29
Alan Rome,39,F,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,17,380.44,36674.46,25,780.44,Yes,Yes,Yes,Unsolved,Too many ads,3,5,30-39
